"ANOVA: glmmTMB(weed_nr~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby)";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;;;;;
seed.density;10.2565;2;0.0059;**;;;;;;;;;;;;;;;;;
seed.mixture;19.6522;4;0.0006;***;;;;;;;;;;;;;;;;;
seed.density:seed.mixture;9.6861;8;0.2878;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
seed mixture;;;;;;;;seed densities within Seed mixture;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seedMixture;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value;;;;
L.nr - M.nr;0.4357;0.22;Inf;1.977;0.277;;;L.nr;seedDensity1 / seedDensity2;1;0.333;Inf;0.377;2.65;1;0;1;;;;
L.nr - M.r;0.6835;0.237;Inf;2.887;0.0318;;;L.nr;seedDensity1 / seedDensity3;0.947;0.312;Inf;0.362;2.48;1;-0.164;1;;;;
L.nr - I.nr;0.1658;0.214;Inf;0.776;0.9376;;;L.nr;seedDensity2 / seedDensity3;0.947;0.312;Inf;0.362;2.48;1;-0.164;1;;;;
L.nr - H.r;0.7443;0.244;Inf;3.044;0.0198;;;M.nr;seedDensity1 / seedDensity2;1.214;0.438;Inf;0.422;3.49;1;0.538;1;;;;
M.nr - M.r;0.2479;0.261;Inf;0.949;0.8776;;;M.nr;seedDensity1 / seedDensity3;2.429;1.091;Inf;0.652;9.04;1;1.976;0.5232;;;;
M.nr - I.nr;-0.2699;0.24;Inf;-1.123;0.7945;;;M.nr;seedDensity2 / seedDensity3;2;0.926;Inf;0.516;7.76;1;1.497;0.885;;;;
M.nr - H.r;0.3086;0.268;Inf;1.151;0.7793;;;M.r;seedDensity1 / seedDensity2;1.091;0.455;Inf;0.321;3.7;1;0.208;1;;;;
M.r - I.nr;-0.5178;0.256;Inf;-2.026;0.2533;;;M.r;seedDensity1 / seedDensity3;2;1;Inf;0.463;8.65;1;1.386;0.9339;;;;
M.r - H.r;0.0608;0.282;Inf;0.216;0.9995;;;M.r;seedDensity2 / seedDensity3;1.833;0.93;Inf;0.415;8.1;1;1.194;0.9811;;;;
I.nr - H.r;0.5786;0.263;Inf;2.202;0.1787;;;I.nr;seedDensity1 / seedDensity2;1.083;0.307;Inf;0.473;2.48;1;0.283;1;;;;
;;;;;;;;I.nr;seedDensity1 / seedDensity3;4.333;1.963;Inf;1.151;16.32;1;3.238;0.0179;;;;
