"ANOVA: glmmTMB(weed_nr~seed.density*seed.mixture+(1|replication)+(1|DensityBlock)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby)";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;I.nr;seedDensity2 / seedDensity3;4;1.826;Inf;1.051;15.22;1;3.037;0.0352;;;;
;;;;;;;;H.r;seedDensity1 / seedDensity2;0.917;0.383;Inf;0.27;3.11;1;-0.208;1;;;;
;;;;;;;;H.r;seedDensity1 / seedDensity3;2.2;1.187;Inf;0.454;10.67;1;1.462;0.9026;;;;
;;;;;;;;H.r;seedDensity2 / seedDensity3;2.4;1.277;Inf;0.505;11.4;1;1.645;0.7942;;;;
;;;;;;;;;;;;;;;;;;;;;
seed density;;;;;;;;Seed mixture within seed densities;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value;;;;
seed.density1 - seed.density2;0.0548;0.164;Inf;0.335;0.94;;;1;L.nr / M.nr;1.059;0.358;Inf;0.367;3.06;1;0.169;1;;;;
seed.density1 - seed.density3;0.7562;0.206;Inf;3.68;0.0007;;;1;L.nr / M.r;1.5;0.559;Inf;0.466;4.83;1;1.088;0.9999;;;;
seed.density2 - seed.density3;0.7014;0.207;Inf;3.388;0.002;;;1;L.nr / I.nr;0.692;0.212;Inf;0.265;1.81;1;-1.199;0.9996;;;;
;;;;;;;;1;L.nr / H.r;1.636;0.626;Inf;0.493;5.44;1;1.287;0.9987;;;;
;;;;;;;;1;M.nr / M.r;1.417;0.534;Inf;0.434;4.62;1;0.924;1;;;;
;;;;;;;;1;M.nr / I.nr;0.654;0.204;Inf;0.246;1.74;1;-1.362;0.9967;;;;
;;;;;;;;1;M.nr / H.r;1.545;0.598;Inf;0.459;5.2;1;1.125;0.9999;;;;
;;;;;;;;1;M.r / I.nr;0.462;0.161;Inf;0.154;1.38;1;-2.215;0.5563;;;;
;;;;;;;;1;M.r / H.r;1.091;0.455;Inf;0.295;4.04;1;0.208;1;;;;
;;;;;;;;1;I.nr / H.r;2.364;0.85;Inf;0.765;7.3;1;2.392;0.398;;;;
;;;;;;;;2;L.nr / M.nr;1.286;0.458;Inf;0.42;3.93;1;0.705;1;;;;
;;;;;;;;2;L.nr / M.r;1.636;0.626;Inf;0.493;5.44;1;1.287;0.9987;;;;
;;;;;;;;2;L.nr / I.nr;0.75;0.234;Inf;0.282;1.99;1;-0.923;1;;;;
;;;;;;;;2;L.nr / H.r;1.5;0.559;Inf;0.466;4.83;1;1.088;0.9999;;;;
;;;;;;;;2;M.nr / M.r;1.273;0.513;Inf;0.36;4.5;1;0.599;1;;;z.ratio;p.value
;;;;;;;;2;M.nr / I.nr;0.583;0.196;Inf;0.203;1.68;1;-1.603;0.9686;;;0;1
;;;;;;;;2;M.nr / H.r;1.167;0.459;Inf;0.34;4.01;1;0.392;1;;;-0.164;1
;;;;;;;;2;M.r / I.nr;0.458;0.167;Inf;0.146;1.44;1;-2.143;0.6247;;;-0.164;1
;;;;;;;;2;M.r / H.r;0.917;0.383;Inf;0.247;3.4;1;-0.208;1;;;0.538;1
;;;;;;;;2;I.nr / H.r;2;0.707;Inf;0.66;6.06;1;1.961;0.7849;;;1.976;0.5232
;;;;;;;;3;L.nr / M.nr;2.714;1.2;Inf;0.678;10.86;1;2.258;0.5163;;;1.497;0.885
;;;;;;;;3;L.nr / M.r;3.167;1.483;Inf;0.729;13.76;1;2.461;0.3417;;;0.208;1
;;;;;;;;3;L.nr / I.nr;3.167;1.483;Inf;0.729;13.76;1;2.461;0.3417;;;1.386;0.9339
;;;;;;;;3;L.nr / H.r;3.8;1.91;Inf;0.785;18.39;1;2.656;0.2119;;;1.194;0.9811
;;;;;;;;3;M.nr / M.r;1.167;0.649;Inf;0.204;6.68;1;0.277;1;;;0.283;1
;;;;;;;;3;M.nr / I.nr;1.167;0.649;Inf;0.204;6.68;1;0.277;1;;;3.238;0.0179
;;;;;;;;3;M.nr / H.r;1.4;0.82;Inf;0.223;8.79;1;0.575;1;;;3.037;0.0352
;;;;;;;;3;M.r / I.nr;1;0.577;Inf;0.163;6.12;1;0;1;;;-0.208;1
;;;;;;;;3;M.r / H.r;1.2;0.727;Inf;0.18;8.02;1;0.301;1;;;1.462;0.9026
;;;;;;;;3;I.nr / H.r;1.2;0.727;Inf;0.18;8.02;1;0.301;1;;;1.645;0.7942
