"Statistical Model: glmmTMB(spec.nr.all~seed.density*seed.mixture+(1|DensityBlock)+(1|replication)+(1|blockgrowntogether), family = poisson(link = ""log""), data = aby)";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Chisq;Df;Pr(>Chisq);;;;;;;;;;;;;;
seed.density;11.9449;2;0.0025;**;;;;;;;;;;;;;
seed.mixture;8.7784;4;0.0669;.;;;;;;;;;;;;;
seed.density:seed.mixture;5.8255;8;0.6668;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
seed mixture;;;;;;;;seed densities within seed mixtures;;;;;;;;;
;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.mixture;contrast;ratio;SE;df as;ymp.LCL as;ymp.UCL;null;z.ratio;p.value
L.nr - M.nr;-0.185;0.1036;Inf;-1.786;0.3819;;;L.nr;seed.density1/seed.density2;0.965;0.182;Inf;0.555;1.68;1;-0.189;1
L.nr - M.r;-0.1245;0.1049;Inf;-1.187;0.759;;;L.nr;seed.density1/seed.density3;0.917;0.171;Inf;0.531;1.58;1;-0.466;1
L.nr - I.nr;0.0354;0.1092;Inf;0.324;0.9976;;;L.nr;seed.density2/seed.density3;0.95;0.176;Inf;0.553;1.63;1;-0.277;1
L.nr - H.r;-0.2005;0.1032;Inf;-1.942;0.2948;;;M.nr;seed.density1/seed.density2;1.108;0.178;Inf;0.693;1.77;1;0.64;1
M.nr - M.r;0.0606;0.1004;Inf;0.603;0.9747;;;M.nr;seed.density1/seed.density3;1.519;0.266;Inf;0.909;2.54;1;2.384;0.2285
M.nr - I.nr;0.2204;0.105;Inf;2.1;0.2202;;;M.nr;seed.density2/seed.density3;1.37;0.245;Inf;0.811;2.31;1;1.76;0.7058
M.nr - H.r;-0.0155;0.0987;Inf;-0.157;0.9999;;;M.r;seed.density1/seed.density2;0.958;0.161;Inf;0.585;1.57;1;-0.253;1
M.r - I.nr;0.1599;0.1062;Inf;1.505;0.5591;;;M.r;seed.density1/seed.density3;1.255;0.227;Inf;0.739;2.13;1;1.255;0.9707
M.r - H.r;-0.076;0.1;Inf;-0.76;0.9419;;;M.r;seed.density2/seed.density3;1.309;0.234;Inf;0.775;2.21;1;1.504;0.8816
I.nr - H.r;-0.2359;0.1046;Inf;-2.255;0.1597;;;I.nr;seed.density1/seed.density2;1;0.18;Inf;0.591;1.69;1;0;1
;;;;;;;;I.nr;seed.density1/seed.density3;1.409;0.278;Inf;0.791;2.51;1;1.74;0.7224
;;;;;;;;I.nr;seed.density2/seed.density3;1.409;0.278;Inf;0.791;2.51;1;1.74;0.7224
;;;;;;;;H.r;seed.density1/seed.density2;1;0.159;Inf;0.628;1.59;1;0;1
;;;;;;;;H.r;seed.density1/seed.density3;1.436;0.252;Inf;0.859;2.4;1;2.062;0.4512
;;;;;;;;H.r;seed.density2/seed.density3;1.436;0.252;Inf;0.859;2.4;1;2.062;0.4512
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
seed density;;;;;;;;seed mixture within seed densities;;;;;;;;;
;;;;;;;;;;;;;;;;;
contrast;estimate;SE;df;z.ratio;p.value;;;seed.density;contrast;ratio;SE;df;asymp.LCL;asymp.UCL;null;z.ratio;p.value
seed.density1 - seed.density2;0.0049;0.0768;Inf;0.063;0.9978;;;1;L.nr / M.nr;0.671;0.117;Inf;0.388;1.16;1;-2.292;0.4859
seed.density1 - seed.density3;0.2525;0.082;Inf;3.081;0.0059;;;1;L.nr / M.r;0.797;0.144;Inf;0.452;1.41;1;-1.255;0.9991
seed.density2 - seed.density3;0.2476;0.082;Inf;3.021;0.0071;;;1;L.nr / I.nr;0.887;0.164;Inf;0.496;1.59;1;-0.647;1
;;;;;;;;1;L.nr / H.r;0.696;0.122;Inf;0.401;1.21;1;-2.062;0.6988
;;;;;;;;1;M.nr / M.r;1.188;0.194;Inf;0.712;1.98;1;1.057;1
;;;;;;;;1;M.nr / I.nr;1.323;0.223;Inf;0.78;2.24;1;1.661;0.9526
;;;;;;;;1;M.nr / H.r;1.038;0.164;Inf;0.633;1.7;1;0.236;1
;;;;;;;;1;M.r / I.nr;1.113;0.195;Inf;0.643;1.93;1;0.611;1
;;;;;;;;1;M.r / H.r;0.873;0.144;Inf;0.521;1.46;1;-0.821;1
;;;;;;;;1;I.nr / H.r;0.785;0.133;Inf;0.461;1.34;1;-1.428;0.9932
;;;;;;;;2;L.nr / M.nr;0.77;0.136;Inf;0.443;1.34;1;-1.481;0.9886
;;;;;;;;2;L.nr / M.r;0.792;0.14;Inf;0.454;1.38;1;-1.318;0.998
;;;;;;;;2;L.nr / I.nr;0.919;0.169;Inf;0.517;1.63;1;-0.458;1
;;;;;;;;2;L.nr / H.r;0.722;0.125;Inf;0.418;1.24;1;-1.878;0.8455
;;;;;;;;2;M.nr / M.r;1.028;0.17;Inf;0.611;1.73;1;0.166;1
;;;;;;;;2;M.nr / I.nr;1.194;0.205;Inf;0.696;2.05;1;1.028;1
;;;;;;;;2;M.nr / H.r;0.937;0.152;Inf;0.564;1.56;1;-0.404;1
;;;;;;;;2;M.r / I.nr;1.161;0.201;Inf;0.674;2;1;0.863;1
;;;;;;;;2;M.r / H.r;0.911;0.148;Inf;0.547;1.52;1;-0.569;1
;;;;;;;;2;I.nr / H.r;0.785;0.133;Inf;0.461;1.34;1;-1.428;0.9932
;;;;;;;;3;L.nr / M.nr;1.111;0.208;Inf;0.617;2;1;0.562;1
;;;;;;;;3;L.nr / M.r;1.091;0.204;Inf;0.607;1.96;1;0.466;1
;;;;;;;;3;L.nr / I.nr;1.364;0.271;Inf;0.732;2.54;1;1.563;0.977
;;;;;;;;3;L.nr / H.r;1.091;0.204;Inf;0.607;1.96;1;0.466;1
;;;;;;;;3;M.nr / M.r;0.982;0.188;Inf;0.538;1.79;1;-0.096;1
;;;;;;;;3;M.nr / I.nr;1.227;0.249;Inf;0.649;2.32;1;1.008;1
;;;;;;;;3;M.nr / H.r;0.982;0.188;Inf;0.538;1.79;1;-0.096;1
;;;;;;;;3;M.r / I.nr;1.25;0.253;Inf;0.663;2.36;1;1.103;0.9999
;;;;;;;;3;M.r / H.r;1;0.191;Inf;0.55;1.82;1;0;1
;;;;;;;;3;I.nr / H.r;0.8;0.162;Inf;0.424;1.51;1;-1.103;0.9999
