seed_mixture;sown;all;estab;not_estab;weed;% estab;per_weed
L.nr;26;35;8;18;27;0.31;0.77
I.nr;47;44;18;29;26;0.38;0.59
M.nr;42;50;22;20;28;0.52;0.56
M.r;41;50;20;21;30;0.49;0.6
H.r;61;38;23;38;15;0.38;0.39
